"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"June 16, 2005","CardSystems","Tucson","Arizona","HACK","BSF","40,000,000","Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ","Dataloss DB","","2005","32.221743","-110.926479"
"June 25, 2005","University of Connecticut  (UCONN) ","Storrs","Connecticut","HACK","EDU","72,000","University officials became aware of an October 26, 2003 hacking incident.  The personal information included Social Security numbers and addresses for students, faculty, and staff.  The University began contacting those affected in June of 2005.","Dataloss DB","","2005","41.808431","-72.249523"
"June 28, 2005","Lucas County Children Services","Toledo","Ohio","DISC","GOV","900","Data from around 500 former and 400 current employees from as far back as 1991 were sent outside the organization via e-mail.  The data included names, Social Security numbers, and telephone numbers.  Current employees were contacted immediately and letters were sent to former employees.","Media","","2005","41.663938","-83.555212"
"June 29, 2005","Bank of America","Charlotte","North Carolina","PORT","BSF","18,000","A laptop containing the names, Social Security numbers, and addresses of customers was stolen from a consultant's car.","Dataloss DB","","2005","35.227087","-80.843127"
"June 30, 2005","Ohio State University Medical Center, MTE Consulting","Columbus","Ohio","PORT","MED","15,000","A laptop containing patient information was stolen from a financial consultant.  MTE Consulting notified OSU medical center a month after the laptop was stolen and OSU sent a brief letter to the affected clients.","Dataloss DB","","2005","39.961176","-82.998794"
"July 6, 2005","City National Bank, Iron Mountain","Los Angeles","California","PORT","BSF","0","Two tapes containing Social Security numbers, account numbers, and other customer information were lost or stolen during transportation.  The tapes have been missing since April.  City National Bank notified its customers.","Dataloss DB","","2005","34.052234","-118.243685"
"July 7, 2005","Michigan State University","East Lansing","Michigan","HACK","EDU","27,000","Student information was compromised during an attack on the College of Education server.  The information included Social Security numbers, names, addresses, student courses, and personal identification numbers.  The breach occurred in April and students were emailed in July.","Dataloss DB","","2005","42.736979","-84.483865"
"July 21, 2005","University of Colorado, Boulder","Boulder","Colorado","HACK","EDU","49,000","Prospective students, current students, staff, faculty and University health care service recipients may have had their data exposed in a campus server breach.  The information included names, Social Security numbers, addresses, student ID numbers, birth dates, and lab test information. The University mailed letters and sent emails to the individuals affected.UPDATE
            (08/20/2005) The number of students affected was increased from an 
            estimate of 42,000 to 49,000.","Dataloss DB","","2005","40.014986","-105.270546"
"July 30, 2005","California State University, Dominguez Hills ","Carson","California","HACK","EDU","9,613","Hackers accessed several computers containing personal information such as names and Social Security numbers.  The students who were affected were emailed.","Dataloss DB","","2005","33.831406","-118.282017"
"July 30, 2005","San Diego County Employees Retirement Association","San Diego","California","HACK","GOV","33,000","Two computers that contained personal information for current and retired San Diego County employees were hacked.  The information included names, addresses, Social Security numbers, and dates of birth.  The San Diego Retirement Association mailed warnings to members.","Dataloss DB","","2005","32.715329","-117.157255"
"July 31, 2005","California State Polytechnic University (Cal PolyPomona)","Pomona","California","HACK","EDU","31,077","Hackers gained access to two computers containing names, Social Security numbers and transfer records.  Applicants, current students, current and former faculty, and staff were affected.","Dataloss DB","","2005","34.055289","-117.752279"
"August 2, 2005","University of Colorado","Denver","Colorado","HACK","EDU","36,000","Hackers accessed files containing names, photographs, Social Security numbers, and University meal card information.  Around 7,000 staff members, 29,000 current students, and some former students were affected.","Dataloss DB","","2005","39.739154","-104.984703"
"August 9, 2005","University of Utah","Salt Lake City","Utah","HACK","EDU","100,000","A server containing library archival databases was hacked.  The server included names and Social Security numbers of former University employees.  The University issued a warning that people may try to get personal information by posing as University officials involved in the investigation.","Dataloss DB","","2005","40.760779","-111.891047"
"August 9, 2005","Sonoma State University","Rohnert Park","California","HACK","EDU","61,709","Hackers broke into a computer system and may have accessed the names and Social Security numbers of people who applied, attended, or worked at the University between 1995 and 2002.  University officials attempted to notify those who were affected.","Dataloss DB","","2005","38.339637","-122.701098"
"August 10, 2005","University of North Texas","Denton","Texas","HACK","EDU","39,000","A server containing housing records, financial aid inquiries, and in some cases credit card numbers was hacked.  UNT sent letters to current, former, and prospective students whose information may have been accessed.","Dataloss DB","","2005","33.214841","-97.133068"
"August 17, 2005","California State University, Stanislaus","Turlock","California","HACK","EDU","900","The names and Social Security numbers of student workers were exposed during a hacker attack.  The student workers were contacted by the University.","Dataloss DB","","2005","37.494657","-120.846594"
"August 19, 2005","University of Colorado","Denver","Colorado","HACK","EDU","49,000","A hacker may have gained access to personal information from June of 1999 to May of 2001, and fall of 2003 to summer of 2005.  The information included current and former student names, Social Security numbers, addresses and phone numbers.  The University contacted individuals who were affected.","Dataloss DB","","2005","39.739154","-104.984703"
"August 22, 2005","U.S. Air Force","Washington","District Of Columbia","HACK","GOV","33,300","A hacker used a legitimate user ID and password to access career information, birth dates, and Social Security numbers.  Those affected were notified several months after the breach was discovered.","Dataloss DB","","2005","38.895112","-77.036366"
"August 27, 2005"," University of Florida, Health Sciences Center, ChartOne","Gainesville","Florida","PORT","EDU","3,851","A contractor's laptop containing patient names, Social Security numbers, dates of birth, and medical record numbers was stolen.  A letter was sent to the affected patients.","Dataloss DB","","2005","29.651634","-82.324826"
"August 30, 2005","California State University, Chancellor's Office ","Long Beach","California","HACK","EDU","154","A computer virus attack exposed names and Social Security numbers. Those affected included two financial aid administrators and 152 students enrolled at various Cal State Universities.  Those affected were contacted.","Dataloss DB","","2005","33.766962","-118.189235"
"September 10, 2005","Kent State University","Kent","Ohio","STAT","EDU","100,000","Five desktop computers were stolen from the locked offices of two deans. Names, Social Security numbers, and grades were on the computers.  The information goes back to 2000 for students and 2002 for instructors.  Affected students and professors were alerted by the University.","Dataloss DB","","2005","41.153667","-81.357886"
"September 15, 2005","Miami University","Hamilton","Ohio","DISC","EDU","21,762","A report containing Social Security numbers and grades of students was accessible online for three years.  The University is attempting to contact those affected via letters and emails.  A graduate alerted the University to the exposure after running a Google.com search of her name.","Dataloss DB","","2005","39.399501","-84.561336"
"September 17, 2005","North Fork Bank (now Capital One Bank)","New York","New York","PORT","BSF","9,000","A laptop containing mortgage data was stolen from a North Fork Bank office on the weekend of July 24 of 2005.  Personal information included names, addresses, and mortgage account numbers.  Affected customers were contacted and offered one year of free credit monitoring services from Equifax.","Dataloss DB","","2005","40.714269","-74.005973"
"September 19, 2005","Children's Health Council","San Jose","California","PORT","NGO","6,700","A tape containing sensitive information was stolen from a Children's Health Council office. The tape contained names, Social Security numbers, and detailed medical information for around 6,000 current and former clients.  Payroll information for 700 current and former employees was also on the tape.  The agency alerted those who may be at risk of identity theft.","Dataloss DB","","2005","37.339386","-121.894956"
"September 22, 2005","City University of New York            ","New York","New York","DISC","EDU","771","An unprotected payroll link exposed personal information for Hunter College Campus Schools.  Those affected included 335 Queens College law school students, 265 current workers and 171 former workers at local elementary and high schools.  All affected people were contacted.","Dataloss DB","","2005","40.714269","-74.005973"
"September 23, 2005","Bank of America ","Charlotte","North Carolina","PORT","BSF","0","A laptop was stolen from a Bank of America service provider.  Information such as names, account numbers, routing transit numbers, and credit card numbers were compromised by the theft.  An unspecified number of Visa Buxx users were contacted by Bank of America.","Dataloss DB","","2005","35.227087","-80.843127"
"October 12, 2005","Ohio State University Medical Center","Columbus","Ohio","DISC","MED","2,800","Appointment 
            information including Social Security numbers, birth dates, addresses, phone numbers, medical record numbers, reasons for appointments, and physicians was exposed online.","Security Breach Letter","","2005","39.961176","-82.998794"
"October 15, 2005","Montclair State University","Montclair","New Jersey","DISC","EDU","9,100","Names and Social Security numbers of undergraduates were posted online for nearly four months.  An undergraduate alerted the University after running a Google.com search of his name.  The University warned all students of the problem.","Dataloss DB","","2005","40.825933","-74.209034"
"October 21, 2005","Wilcox Memorial Hospital","Lihue","Hawaii","PORT","MED","130,000","A backup computer data drive containing medical record numbers, addresses, names and Social Security numbers of current and former patients was lost.  Letters have been sent to affected patients.","Dataloss DB","","2005","21.981111","-159.371111"
"November 1, 2005","University of Tennessee Medical Center","Knoxville","Tennessee","PORT","MED","3,800","A laptop was stolen from the University's medical billing office.  Personal information lost included names, Social Security numbers and birth dates.  Affected patients were not informed of the theft for nearly two months.","Dataloss DB","","2005","35.960638","-83.920739"
"November 4, 2005","Keck School of Medicine, University of Southern California (USC)","Los Angeles","California","STAT","EDU","50,000","A computer server containing names and Social Security numbers of patients, donors and employees was stolen from a campus computer room.","Security Breach Letter","","2005","34.052234","-118.243685"
"November 5, 2005","Safeway, Hawaii ","Pleasanton","California","PORT","BSR","1,400","A division director's laptop was stolen.  Names and Social Security numbers of some Hawaii workers were compromised by the theft.  The theft occurred in August and letters were sent to affected employees in October.","Dataloss DB","","2005","37.662431","-121.874679"
"November 9, 2005","TransUnion Credit Bureau","Chester","Pennsylvania","STAT","BSF","3,623","A desktop containing Social Security numbers and other information was stolen from a regional sales office in California.  Affected consumers were notified and offered one year of free credit monitoring services.","Dataloss DB","","2005","39.849557","-75.355746"
"November 11, 2005","Scottrade Troy Group ","Santa Ana","California","HACK","BSF","0","A hacker compromised a server containing names, Social Security numbers, driver's licenses, state ID numbers, dates of birth, phone numbers, bank names, bank codes, bank account numbers and Scottrade account numbers.  Scottrade alerted all affected customers.","Dataloss DB","","2005","33.745573","-117.867834"
"November 11, 2005","Georgia Tech University Office of Enrollment Services ","Atlanta","Georgia","STAT","EDU","13,000","On October 16 of 2005 computers were stolen from campus which contained the names, Social Security numbers, addresses and birth dates of current and prospective students. Notifications were sent to those who were affected.","Dataloss DB","","2005","33.748995","-84.387982"
"November 19, 2005","Boeing","Chicago","Illinois","PORT","BSO","161,000","A laptop containing names, Social Security numbers, bank account information and other human resources data was stolen.  Affected current and former employees were notified.","Dataloss DB","","2005","41.850033","-87.650052"
"December 1, 2005","University of San Diego","San Diego","California","HACK","EDU","7,800","Hackers gained access to computers containing personal income tax data, including Social Security numbers, names, and addresses.  Faculty members, students and vendors had their information compromised and were notified by the University.","Dataloss DB","","2005","32.715329","-117.157255"
"December 1, 2005","First Trust Bank ","Memphis","Tennessee","PORT","BSF","100,000","A man claiming to be a janitor bypassed security and stole a laptop from the bank.  The laptop contained Social Security numbers and other personal information of current and former customers.  Affected customers were contacted and the theft was caught on tape.","Dataloss DB","","2005","35.149534","-90.048980"
"December 2, 2005","Cornell University","Ithaca","New York","HACK","EDU","900","The University discovered a security breach last summer that exposed names, addresses, 
            Social Security numbers, bank names and account numbers.","Dataloss DB","","2005","42.440628","-76.496607"
"December 6, 2005","Washington State Employment Security Department","Olympia","Washington","PORT","GOV","530","A laptop was stolen from the trunk of an auditor's car. Names, Social Security numbers 
            and earnings of former employees from 2002 to 2005 were exposed.  The Employment Security Department does not have all of the contact information for those affected and used the media to help notify those whose information was compromised.  The laptop contained unemployment insurance reports for 49 Seattle businesses that were undergoing routine audits by Employment Security between November 2004 and October 2005..","Dataloss DB","","2005","47.037874","-122.900695"
"December 7, 2005","Idaho State University, Office of Institutional Research ","Pocatello","Idaho","HACK","EDU","0","ISU discovered a security 
            breach in a server containing archival information about students, 
            faculty, and staff, including names, Social Security numbers, birth dates, and grades. Anyone who was a student or employee between 1995 and 2005 could be affected.","Dataloss DB","","2005","42.871303","-112.445534"
"December 12, 2005","Sam's Club, a division of Wal-Mart Stores, Inc","Bentonville ","Arkansas","UNKN","BSR","0","
Customers who used credit cards at the wholesaler's gas stations discovered fraudulent activity on their credit accounts.  Sam's Club is unaware of how the information was stolen.  Visa alerted the affected financial institutions and asked them to provide fraud monitoring services for the affected customers.","Dataloss DB","","2005","36.372854","-94.208817"
"December 16, 2005","Colorado Technical University (CTU)","Colorado Springs","Colorado","DISC","EDU","300","An email was erroneously sent which contained 
            names, phone numbers, email addresses, Social Security numbers and 
            
            class schedules.","Security Breach Letter","","2005","38.833882","-104.821363"
"December 16, 2005","La Salle Bank, ABN AMRO Mortgage Group, DHL","Ann Arbor","Michigan","PORT","BSF","2,000,000","A backup              tape with residential mortgage customers' information was lost in shipment by DHL.  It              contained Social Security numbers and account information. UPDATE              (12/20/05): DHL found the lost tape.","Security Breach Letter","","2005","42.270872","-83.726329"
"December 22, 2005"," H&R Block","Kansas City","Missouri","DISC","BSO","0","Many past and present customers received unsolicited copies of the program TaxCut that displayed their Social Security numbers on the outside, embedded in a lengthy string of code.","Security Breach Letter","","2005","39.099727","-94.578567"
"July 1, 2005","University of California San Diego ","La Jolla","California","HACK","EDU","3,300","A University server was hacked in April.  The server contained Social Security numbers, driver's license numbers, and credit card numbers from people who attended or worked at UCSD Extension between the time of the incident and 2000.  UCSD contacted those who were affected two months after the incident.","Dataloss DB","","2005","33.857500","-117.875560"
"December 22, 2005"," Ford Motor Co. ","Dearborn","Michigan","STAT","BSO","70,000","A computer containing names and 
            Social Security numbers of current and former employees was stolen.  Ford alerted those who were affected and offered to pay for their credit monitoring services.","Dataloss DB","","2005","42.322260","-83.176315"
"June 10, 2005","Federal Deposit Insurance Corp. (FDIC) ","Washington","District Of Columbia","UNKN","GOV","6,000","Personal information including the names, birthdays, salaries, and Social Security numbers of former Federal Deposit Insurance Corporation employees was stolen.  Some of the information was used for fraudulent purposes.  Affected employees from as far back as July 2002 were notified.","Dataloss DB","","2005","38.895112","-77.036366"
"April 28, 2005","Georgia Southern University","Stateboro","Georgia","HACK","EDU","20,000","Hackers accessed a University server which contained thousands of credit card and Social Security numbers collected over three years.  Students who received bookstore credit through scholarship or financial aid between the fall 2003 and spring of 2005 semesters, and anyone who made credit purchases at campus stores, stadium, or website are at risk.  Email alerts were sent to students and alumni.","Dataloss DB","","2005","32.448788","-81.783167"
"May 27, 2005","Cleveland State University","Cleveland","Ohio","PORT","EDU","44,420","A laptop containing personal information from applicants, current students, and former students was stolen from the University's admissions office.  The information included Social Security numbers and addresses from as far back as 2001.  Letters were sent to those affected.   UPDATE 
            (12/24/05):CSU 
            found the stolen laptop","Dataloss DB","","2005","41.499495","-81.695409"
"June 4, 2005","Duke University Medical Center","Durham","North Carolina","HACK","EDU","14,000","A hacker broke into the computer system, stealing thousands of passwords and fragments of Social Security numbers.  Fourteen thousand affected people were notified, including 10,000 employees of Duke University Medical Center.","Dataloss DB","","2005","35.994033","-78.898619"
